Partner ID,Field Partner Name,sector,Loan Theme ID,Loan Theme Type,country,forkiva,region,geocode_old,ISO,number,amount,LocationName,geocode,names,geo,lat,lon,mpi_region,mpi_geo,rural_pct
133,VisionFund Kenya,General Financial Inclusion,a1050000000wf0f,General,Kenya,No,AHERO,,KEN,2,600,"AHERO, Kenya","[(-0.1744386, 34.9203383)]",Ahero; Kisumu County; Kenya,"(-0.1744386, 34.9203383)",-0.1744386,34.9203383,"Western, Kenya","(-0.115003, 34.851379)",65
133,VisionFund Kenya,General Financial Inclusion,a1050000000wf0f,General,Kenya,No,"Aldina, Jomvu",,KEN,5,1050,"Aldina, Jomvu, Kenya","[(-3.9963167, 39.6142085)]",Jomvu Road; Kaloleni; Mombasa; Coast; Kenya,"(-3.9963167, 39.6142085)",-3.9963167,39.6142085,"Central, Kenya","(-4.0627412, 39.6771481)",65
133,VisionFund Kenya,General Financial Inclusion,a1050000000wf0f,General,Kenya,No,"Aldina,Jomvu Kenya",,KEN,1,150,"Aldina,Jomvu Kenya, Kenya","[(-3.9963167, 39.6142085)]",Jomvu Road; Kaloleni; Mombasa; Coast; Kenya,"(-3.9963167, 39.6142085)",-3.9963167,39.6142085,"Central, Kenya","(-4.0627412, 39.6771481)",65
133,VisionFund Kenya,General Financial Inclusion,a1050000000wf0f,General,Kenya,No,"Aldina,Jomvu",,KEN,3,400,"Aldina,Jomvu, Kenya","[(-3.9963167, 39.6142085)]",Jomvu Road; Kaloleni; Mombasa; Coast; Kenya,"(-3.9963167, 39.6142085)",-3.9963167,39.6142085,"Central, Kenya","(-4.0627412, 39.6771481)",65
133,VisionFund Kenya,General Financial Inclusion,a1050000000wf0f,General,Kenya,No,"Bakarani, Mombasa",,KEN,5,1100,"Bakarani, Mombasa, Kenya","[(-4.0155238, 39.6935344)]",Old Malindi Road; Mombasa; Kenya,"(-4.0155238, 39.6935344)",-4.0155238,39.6935344,"Central, Kenya","(-4.0627412, 39.6771481)",65
133,VisionFund Kenya,General Financial Inclusion,a1050000000wf0f,General,Kenya,No,"Balozi, Nairobi",,KEN,1,700,"Balozi, Nairobi, Kenya","[(-1.3261052, 36.8507168)]","Balozi Estate, Balozi Road; Embakasi; Nairobi; Nairobi County; Kenya","(-1.3261052, 36.8507168)",-1.3261052,36.8507168,"Nairobi, Kenya","(-1.2920659, 36.8219462)",65
133,VisionFund Kenya,General Financial Inclusion,a1050000000wf0f,General,Kenya,No,Bamba Kilifi,,KEN,24,6350,"Bamba Kilifi, Kenya","[(-3.5423087, 39.5226547)]","['Bamba', 'Kilifi County', 'Kenya']","(-3.5423087, 39.5226547)",-3.5423087,39.5226547,"Central, Kenya","(-4.0627412, 39.6771481)",65
133,VisionFund Kenya,General Financial Inclusion,a1050000000wf0f,General,Kenya,No,"Bamburi, Mombasa",,KEN,13,3625,"Bamburi, Mombasa, Kenya","[(-3.9966585, 39.7188737)]",Bamburi; Mombasa; Coast; Kenya,"(-3.9966585, 39.7188737)",-3.9966585,39.7188737,"Central, Kenya","(-4.0627412, 39.6771481)",65
133,VisionFund Kenya,General Financial Inclusion,a1050000000PNSk,Green,Kenya,No,"Bamburi, Mombasa",,KEN,1,300,"Bamburi, Mombasa, Kenya","[(-3.9966585, 39.7188737)]",Bamburi; Mombasa; Coast; Kenya,"(-3.9966585, 39.7188737)",-3.9966585,39.7188737,"Central, Kenya","(-4.0627412, 39.6771481)",65
133,VisionFund Kenya,General Financial Inclusion,a1050000000wf0f,General,Kenya,No,"Bombolulu-Kisimani, Mombasa",,KEN,12,5775,"Bombolulu-Kisimani, Mombasa, Kenya","[(-4.0262369, 39.69717380000001)]",Nyali Road; Mombasa; Kenya,"(-4.0262369, 39.69717380000001)",-4.0262369,39.6971738,"Central, Kenya","(-4.0627412, 39.6771481)",65
